index,dBFS
858,-90.3087
859,-70.30873
860,-74.745705
861,-71.223885
862,-67.38618
863,-72.24693
864,-66.78691
865,-72.24693
866,-78.26753
867,-74.745705
868,-73.40677
869,-72.24693
870,-70.30873
871,-76.32933
872,-73.40677
873,-71.223885
874,-72.24693
875,-80.766304
876,-72.24693
877,-68.72511
878,-78.26753
879,-70.30873
880,-70.30873
881,-74.745705
882,-71.223885
883,-76.32933
884,-74.745705
885,-71.223885
886,-71.223885
887,-70.30873
888,-69.48088
889,-73.40677
890,-72.24693
891,-72.24693
892,-73.40677
893,-70.30873
894,-73.40677
895,-72.24693
896,-72.24693
897,-78.26753
898,-74.745705
899,-80.766304
900,-80.766304
901,-68.02987
902,-74.745705
903,-71.223885
904,-74.745705
905,-70.30873
906,-71.223885
907,-72.24693
908,-73.40677
909,-74.745705
910,-73.40677
911,-73.40677
912,-71.223885
913,-74.745705
914,-74.745705
915,-69.48088
916,-68.02987
917,-71.223885
918,-69.48088
919,-70.30873
920,-68.02987
921,-80.766304
922,-76.32933
923,-72.24693
924,-78.26753
925,-68.72511
926,-74.745705
927,-71.223885
928,-72.24693
929,-69.48088
930,-74.745705
931,-73.40677
932,-69.48088
933,-73.40677
934,-70.30873
935,-76.32933
936,-72.24693
937,-69.48088
938,-71.223885
939,-84.28813
940,-71.223885
941,-71.223885
942,-78.26753
943,-78.26753
944,-73.40677
945,-69.48088
946,-71.223885
947,-73.40677
948,-73.40677
949,-76.32933
950,-73.40677
951,-78.26753
952,-72.24693
953,-65.69975
954,-73.40677
955,-71.223885
956,-74.745705
957,-74.745705
958,-76.32933
959,-74.745705
960,-73.40677
961,-74.745705
962,-70.30873
963,-72.24693
964,-70.30873
965,-73.40677
966,-71.223885
967,-84.28813
968,-72.24693
969,-67.38618
970,-70.30873
971,-73.40677
972,-73.40677
973,-74.745705
974,-90.3087
975,-90.3087
976,-72.24693
977,-71.223885
978,-74.745705
979,-71.223885
980,-73.40677
981,-78.26753
982,-78.26753
983,-78.26753
984,-78.26753
985,-74.745705
986,-70.30873
987,-67.38618
988,-68.02987
989,-71.223885
990,-73.40677
991,-74.745705
992,-78.26753
993,-70.30873
994,-78.26753
995,-72.24693
996,-68.72511
997,-73.40677
998,-71.223885
999,-74.745705
1000,-78.26753
1001,-71.223885
1002,-76.32933
1003,-78.26753
1004,-71.223885
1005,-74.745705
1006,-73.40677
1007,-73.40677
1008,-74.745705
1009,-72.24693
1010,-69.48088
1011,-76.32933
1012,-70.30873
1013,-90.3087
1014,-71.223885
1015,-70.30873
1016,-69.48088
1017,-73.40677
1018,-69.48088
1019,-72.24693
1020,-69.48088
1021,-71.223885
1022,-74.745705
1023,-74.745705
1024,-76.32933
1025,-72.24693
1026,-71.223885
1027,-72.24693
1028,-74.745705
1029,-71.223885
1030,-68.72511
1031,-72.24693
1032,-74.745705
1033,-73.40677
1034,-76.32933
1035,-72.24693
1036,-72.24693
1037,-76.32933
1038,-73.40677
1039,-72.24693
1040,-70.30873
1041,-71.223885
1042,-73.40677
1043,-72.24693
1044,-70.30873
1045,-90.3087
1046,-74.745705
1047,-71.223885
1048,-74.745705
1049,-71.223885
1050,-73.40677
1051,-76.32933
1052,-73.40677
1053,-71.223885
1054,-73.40677
